iter	Passed	Remaining
0	13	3680
1	24	3448
2	38	3628
3	51	3581
4	62	3487
5	75	3482
6	87	3466
7	99	3441
8	111	3410
9	122	3355
10	135	3353
11	152	3447
12	168	3504
13	183	3546
14	198	3563
15	212	3563
16	227	3567
17	238	3524
18	250	3490
19	262	3461
20	274	3439
21	286	3406
22	300	3404
23	314	3409
24	330	3418
25	343	3411
26	360	3433
27	376	3441
28	389	3429
29	401	3401
30	412	3370
31	424	3342
32	437	3331
33	451	3316
34	463	3294
35	475	3272
36	487	3257
37	499	3230
38	510	3208
39	522	3185
40	533	3161
41	546	3147
42	560	3139
43	572	3121
44	586	3117
45	598	3095
46	610	3077
47	621	3057
48	633	3038
49	645	3022
50	658	3008
51	670	2991
52	682	2974
53	693	2954
54	705	2938
55	719	2928
56	763	3041
57	806	3141
58	824	3145
59	842	3147
60	863	3155
61	878	3143
62	890	3122
63	902	3101
64	913	3078
65	924	3054
66	936	3033
67	948	3012
68	959	2989
69	971	2970
70	983	2951
71	995	2930
72	1006	2908
73	1021	2899
74	1034	2883
75	1046	2864
76	1057	2844
77	1069	2825
78	1082	2808
79	1094	2789
80	1105	2771
81	1118	2754
82	1134	2746
83	1153	2747
84	1170	2739
85	1185	2729
86	1200	2717
87	1214	2704
88	1229	2693
89	1243	2680
90	1258	2668
91	1271	2653
92	1286	2642
93	1302	2632
94	1315	2617
95	1329	2604
96	1344	2591
97	1358	2578
98	1372	2564
99	1386	2551
100	1401	2539
101	1415	2526
102	1433	2518
103	1449	2509
104	1465	2498
105	1482	2488
106	1494	2472
107	1507	2455
108	1517	2436
109	1529	2419
110	1540	2401
111	1553	2385
112	1565	2369
113	1579	2355
114	1591	2338
115	1602	2320
116	1613	2303
117	1625	2286
118	1636	2269
119	1648	2252
120	1659	2235
121	1670	2218
122	1682	2201
123	1693	2185
124	1705	2169
125	1719	2156
126	1730	2139
127	1742	2123
128	1753	2107
129	1766	2092
130	1777	2075
131	1789	2060
132	1801	2045
133	1812	2028
134	1824	2013
135	1836	1998
136	1849	1984
137	1860	1968
138	1873	1954
139	1884	1938
140	1895	1922
141	1907	1907
142	1918	1892
143	1930	1876
144	1941	1861
145	1954	1847
146	1965	1832
147	1977	1816
148	1989	1802
149	2004	1790
150	2018	1777
151	2029	1762
152	2041	1747
153	2053	1733
154	2066	1719
155	2076	1704
156	2087	1688
157	2099	1674
158	2112	1660
159	2124	1646
160	2137	1632
161	2151	1620
162	2162	1605
163	2173	1590
164	2185	1576
165	2196	1561
166	2207	1546
167	2218	1532
168	2230	1517
169	2241	1503
170	2254	1489
171	2266	1475
172	2279	1462
173	2292	1449
174	2303	1434
175	2314	1420
176	2326	1406
177	2337	1392
178	2348	1377
179	2360	1363
180	2371	1349
181	2382	1335
182	2394	1321
183	2406	1307
184	2420	1295
185	2432	1281
186	2445	1268
187	2457	1254
188	2470	1241
189	2482	1227
190	2494	1214
191	2505	1200
192	2516	1186
193	2527	1172
194	2539	1158
195	2550	1144
196	2565	1132
197	2577	1119
198	2588	1105
199	2600	1092
200	2611	1078
201	2622	1064
202	2634	1051
203	2645	1037
204	2657	1024
205	2670	1010
206	2681	997
207	2692	983
208	2707	971
209	2718	958
210	2731	945
211	2743	931
212	2755	918
213	2766	904
214	2778	891
215	2790	878
216	2802	865
217	2813	851
218	2824	838
219	2838	825
220	2850	812
221	2861	799
222	2872	785
223	2884	772
224	2895	759
225	2906	745
226	2919	733
227	2930	719
228	2942	706
229	2954	693
230	2965	680
231	2978	667
232	2991	654
233	3004	641
234	3017	629
235	3030	616
236	3043	603
237	3055	590
238	3067	577
239	3078	564
240	3091	551
241	3104	538
242	3118	526
243	3130	513
244	3144	500
245	3158	487
246	3169	474
247	3184	462
248	3200	449
249	3213	437
250	3225	424
251	3238	411
252	3253	398
253	3268	386
254	3283	373
255	3299	360
256	3313	348
257	3327	335
258	3343	322
259	3354	309
260	3366	296
261	3380	283
262	3396	271
263	3492	264
264	3508	251
265	3533	239
266	3545	225
267	3556	212
268	3568	198
269	3581	185
270	3593	172
271	3605	159
272	3616	145
273	3628	132
274	3639	119
275	3651	105
276	3662	92
277	3673	79
278	3684	66
279	3696	52
280	3708	39
281	3723	26
282	3735	13
283	3747	0
