Air_temperature_K,Process_temperature_K,Torque_Nm,Tool_wear_min,Power_kW,Temp_Diff,Tool_Wear_Strain,Temp_Speed_Ratio
302.0,310.9,47.2,54.0,7.196676675039401,8.899999999999977,2548.8,0.21353021978021977
297.0,308.3,46.4,132.0,6.797736295935546,11.300000000000011,6124.8,0.22037169406719087
301.0,311.6,45.6,137.0,6.479974671000451,10.600000000000023,6247.2,0.2296241709653648
298.9,309.8,56.3,84.0,8.31886404287719,10.900000000000034,4729.2,0.21956059532246636
297.1,308.5,28.7,50.0,5.20845693236203,11.399999999999977,1435.0,0.17801500288517022
298.3,308.9,31.8,8.0,5.681130491045638,10.599999999999966,254.4,0.18106682297772567
300.7,311.0,52.3,104.0,6.917252952453614,10.300000000000011,5439.2,0.24623911322248615
297.6,309.0,40.2,51.0,5.948354362159987,11.399999999999977,2050.2000000000003,0.21868365180467092
303.9,313.2,40.6,79.0,6.836608269035963,9.300000000000011,3207.4,0.19477611940298506
297.3,308.6,42.0,109.0,6.29386672220179,11.300000000000011,4578.0,0.2156533892382949
298.9,310.1,42.5,187.0,6.524564342730401,11.200000000000045,7947.5,0.21152796725784448
297.9,308.6,29.6,116.0,5.2416007348574025,10.700000000000045,3433.6000000000004,0.1824955647545831
299.2,310.7,36.3,175.0,5.85404375069922,11.5,6352.499999999999,0.20175324675324674
298.4,308.4,40.1,179.0,6.361882203152011,10.0,7177.900000000001,0.20356435643564355
300.4,309.8,47.2,0.0,7.023679639581725,9.400000000000034,0.0,0.21801548205489094
298.7,309.9,33.0,203.0,5.587950852940166,11.199999999999989,6699.0,0.1916512059369202
297.7,308.7,60.4,143.0,7.900016438325084,11.0,8637.199999999999,0.24715772618094475
298.9,310.0,33.8,183.0,5.535821358841598,11.100000000000023,6185.4,0.19820971867007672
298.1,308.7,32.9,10.0,5.402198951308912,10.599999999999966,329.0,0.196875
304.1,313.2,50.1,43.0,7.523423254963765,9.099999999999966,2154.3,0.21841004184100418
302.5,311.1,34.2,201.0,5.626403947020105,8.600000000000023,6874.200000000001,0.19802673456397202
299.2,308.8,21.3,104.0,4.2558527359650205,9.600000000000023,2215.2000000000003,0.16184486373165619
299.6,310.2,48.0,9.0,7.378972824751705,10.599999999999966,432.0,0.21130790190735693
301.0,312.2,40.3,117.0,6.283886929538887,11.199999999999989,4715.099999999999,0.209670920080591
299.1,310.5,61.4,64.0,8.930982427478135,11.399999999999977,3929.6,0.22354211663066956
